Progress,Duration (in seconds),DistributionChannel,consent,prolificID,politics_survey_1,politics_survey_2,politics_survey_3,politics_survey_4,politics_survey_5,religion_survey_1,religion_survey_2,religion_survey_3,religion_survey_4,religion_survey_5,moral_survey_1,moral_survey_2,moral_survey_3,moral_survey_4,moral_survey_5,arbitrary_survey_1,arbitrary_survey_2,arbitrary_survey_3,arbitrary_survey_4,arbitrary_survey_5,preferences_survey_1,preferences_survey_2,preferences_survey_3,preferences_survey_4,preferences_survey_5,identity_survey_1,identity_survey_2,identity_survey_3,identity_survey_4,identity_survey_5,background_survey_1,background_survey_2,background_survey_3,background_survey_4,background_survey_5,politics_learn_1,politics_learn_3,politics_learn_4,politics_learn_7,politics_learn_8,religion_learn_1,religion_learn_2,religion_learn_3,religion_learn_5,religion_learn_9,moral_learn_1,moral_learn_6,moral_learn_7,moral_learn_9,moral_learn_10,arbitrary_learn_2,arbitrary_learn_4,arbitrary_learn_6,arbitrary_learn_7,arbitrary_learn_9,preferences_learn_1,preferences_learn_2,preferences_learn_3,preferences_learn_4,preferences_learn_5,identity_learn_1,identity_learn_2,identity_learn_4,identity_learn_6,identity_learn_8,background_learn_2,background_learn_4,background_learn_5,background_learn_6,background_learn_7,politics_interest_1,politics_interest_3,politics_interest_4,politics_interest_7,politics_interest_8,religion_interest_1,religion_interest_2,religion_interest_3,religion_interest_5,religion_interest_9,moral_interest_1,moral_interest_6,moral_interest_7,moral_interest_9,moral_interest_10,arbitrary_interest_2,arbitrary_interest_4,arbitrary_interest_6,arbitrary_interest_7,arbitrary_interest_9,preferences_interest_1,preferences_interest_2,preferences_interest_3,preferences_interest_4,preferences_interest_5,identity_interest_1,identity_interest_2,identity_interest_4,identity_interest_6,identity_interest_8,background_interest_2,background_interest_4,background_interest_5,background_interest_6,background_interest_7,politics_deep_1,politics_deep_3,politics_deep_4,politics_deep_7,politics_deep_8,religion_deep_1,religion_deep_2,religion_deep_3,religion_deep_5,religion_deep_9,moral_deep_1,moral_deep_6,moral_deep_7,moral_deep_9,moral_deep_10,arbitrary_deep_2,arbitrary_deep_4,arbitrary_deep_6,arbitrary_deep_7,arbitrary_deep_9,preferences_deep_1,preferences_deep_2,preferences_deep_3,preferences_deep_4,preferences_deep_5,identity_deep_1,identity_deep_2,identity_deep_4,identity_deep_6,identity_deep_8,background_deep_2,background_deep_4,background_deep_5,background_deep_6,background_deep_7,politics_likely_1,politics_likely_3,politics_likely_4,politics_likely_7,politics_likely_8,religion_likely_1,religion_likely_2,religion_likely_3,religion_likely_5,religion_likely_9,moral_likely_1,moral_likely_6,moral_likely_7,moral_likely_9,moral_likely_10,arbitrary_likely_2,arbitrary_likely_4,arbitrary_likely_6,arbitrary_likely_7,arbitrary_likely_9,preferences_likely_1,preferences_likely_2,preferences_likely_3,preferences_likely_4,preferences_likely_5,identity_likely_1,identity_likely_2,identity_likely_4,identity_likely_6,identity_likely_8,background_likely_2,background_likely_4,background_likely_5,background_likely_6,background_likely_7,politics_divisive_1,politics_divisive_3,politics_divisive_4,politics_divisive_7,politics_divisive_8,religion_divisive_1,religion_divisive_2,religion_divisive_3,religion_divisive_5,religion_divisive_9,moral_divisive_1,moral_divisive_6,moral_divisive_7,moral_divisive_9,moral_divisive_10,arbitrary_divisive_2,arbitrary_divisive_4,arbitrary_divisive_6,arbitrary_divisive_7,arbitrary_divisive_9,preferences_divisive_1,preferences_divisive_2,preferences_divisive_3,preferences_divisive_4,preferences_divisive_5,identity_divisive_1,identity_divisive_2,identity_divisive_4,identity_divisive_6,identity_divisive_8,background_divisive_2,background_divisive_4,background_divisive_5,background_divisive_6,background_divisive_7,politics_personal_1,politics_personal_3,politics_personal_4,politics_personal_7,politics_personal_8,religion_personal_1,religion_personal_2,religion_personal_3,religion_personal_5,religion_personal_9,moral_personal_1,moral_personal_6,moral_personal_7,moral_personal_9,moral_personal_10,arbitrary_personal_2,arbitrary_personal_4,arbitrary_personal_6,arbitrary_personal_7,arbitrary_personal_9,preferences_personal_1,preferences_personal_2,preferences_personal_3,preferences_personal_4,preferences_personal_5,identity_personal_1,identity_personal_2,identity_personal_4,identity_personal_6,identity_personal_8,background_personal_2,background_personal_4,background_personal_5,background_personal_6,background_personal_7,politics_relevant_1,politics_relevant_3,politics_relevant_4,politics_relevant_7,politics_relevant_8,religion_relevant_1,religion_relevant_2,religion_relevant_3,religion_relevant_5,religion_relevant_9,moral_relevant_1,moral_relevant_6,moral_relevant_7,moral_relevant_9,moral_relevant_10,arbitrary_relevant_2,arbitrary_relevant_4,arbitrary_relevant_6,arbitrary_relevant_7,arbitrary_relevant_9,preferences_relevant_1,preferences_relevant_2,preferences_relevant_3,preferences_relevant_4,preferences_relevant_5,identity_relevant_1,identity_relevant_2,identity_relevant_4,identity_relevant_6,identity_relevant_8,background_relevant_2,background_relevant_4,background_relevant_5,background_relevant_6,background_relevant_7,politics_same_1,politics_same_3,politics_same_4,politics_same_7,politics_same_8,religion_same_1,religion_same_2,religion_same_3,religion_same_5,religion_same_9,moral_same_1,moral_same_6,moral_same_7,moral_same_9,moral_same_10,arbitrary_same_2,arbitrary_same_4,arbitrary_same_6,arbitrary_same_7,arbitrary_same_9,preferences_same_1,preferences_same_2,preferences_same_3,preferences_same_4,preferences_same_5,identity_same_1,identity_same_2,identity_same_4,identity_same_6,identity_same_8,background_same_2,background_same_4,background_same_5,background_same_6,background_same_7,age,race,ethnicity,gender,handedness,PROLIFIC_PID
100,245,anonymous,Accept consent,5a9710fd1eda4100013648fa,Definitely not,Probably not,Definitely not,Definitely yes,Definitely yes,Definitely not,Probably not,Definitely not,Definitely not,Definitely not,Probably not,Definitely not,Unsure,Probably not,Probably not,Probably not,Definitely yes,Definitely yes,Probably yes,Definitely yes,Definitely yes,Definitely not,Probably not,Definitely yes,Definitely not,Definitely not,Definitely yes,Definitely not,Definitely not,Definitely yes,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,75,10,90,80,30,50,30,40,40,50,60,50,50,20,20,60,40,75,80,40,40,40,50,40,50,50,40,50,50,30,15,10,50,50,36,White,Not Hispanic,Male,Left,5a9710fd1eda4100013648fa
100,579,anonymous,Accept consent,5d05aa4b28d214001d06bb93,Probably not,Probably yes,Probably yes,Probably yes,Probably yes,Probably not,Probably yes,Probably yes,Definitely yes,Probably yes,Definitely not,Probably not,Probably yes,Definitely yes,Probably yes,Probably yes,Probably not,Definitely not,Probably not,Definitely not,Probably yes,Definitely not,Probably not,Probably not,Definitely not,Definitely not,Definitely yes,Definitely yes,Probably yes,Definitely not,Definitely not,Definitely yes,Probably yes,Definitely yes,Probably not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,30,30,16,68,57,80,65,92,86,83,97,70,75,53,68,89,19,76,60,0,22,72,80,13,100,79,100,60,88,24,90,74,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,White,Hispanic,Male,Right,5d05aa4b28d214001d06bb93
100,108,anonymous,Accept consent,6334df27284fbe566f1b02be,Unsure,Probably not,Unsure,Probably not,Unsure,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Unsure,Probably not,Probably not,Probably not,Probably not,Probably yes,Unsure,Unsure,Probably yes,Probably not,Probably not,Unsure,Unsure,Unsure,Probably not,Unsure,Unsure,Definitely yes,Unsure,Definitely not,Definitely not,Unsure,Probably yes,Unsure,Probably yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,76,36,60,29,0,24,0,55,0,36,34,57,30,45,68,36,36,62,63,10,0,0,79,0,39,95,91,40,68,100,0,65,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,White,Not Hispanic,Male,Right,6334df27284fbe566f1b02be
100,318,anonymous,Accept consent,637f17565275d4a7b18ff237,Definitely not,Definitely not,Definitely yes,Definitely yes,Definitely yes,Probably yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely not,Definitely not,Probably yes,Definitely not,Definitely yes,Probably not,Definitely yes,Definitely not,Probably not,Definitely yes,Probably yes,Definitely not,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably not,Definitely yes,Definitely not,Definitely not,Definitely yes,Probably not,Definitely not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,80,80,54,99,0,18,73,50,0,75,0,0,0,50,100,0,0,0,0,0,0,0,0,0,0,100,100,70,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,White,Not Hispanic,Female,Right,637f17565275d4a7b18ff237
100,294,anonymous,Accept consent,5d1c39079d6c1700015ca55d,Definitely not,Probably not,Probably not,Unsure,Probably yes,Definitely not,Probably not,Definitely not,Unsure,Unsure,Definitely not,Probably not,Unsure,Unsure,Probably not,Definitely not,Probably yes,Definitely not,Probably yes,Probably not,Probably yes,Definitely not,Definitely yes,Definitely yes,Definitely not,Definitely not,Definitely yes,Definitely not,Probably not,Definitely not,Definitely yes,Definitely not,Probably yes,Probably yes,Definitely yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,53,78,32,72,32,44,18,28,29,99,57,64,60,30,14,43,19,45,68,71,10,64,79,30,30,74,46,89,50,64,71,58,60,51,22,White,Not Hispanic,Female,Right,5d1c39079d6c1700015ca55d
100,388,anonymous,Accept consent,614e149fccc6a53ae06dfcd2,Probably not,Probably not,Probably yes,Probably yes,Definitely yes,Definitely not,Probably not,Definitely not,Definitely not,Definitely not,Unsure,Probably yes,Unsure,Definitely not,Probably yes,Definitely not,Probably yes,Definitely not,Probably yes,Probably not,Definitely yes,Definitely yes,Unsure,Definitely yes,Definitely yes,Definitely not,Definitely yes,Probably not,Unsure,Definitely not,Definitely not,Definitely not,Probably yes,Definitely yes,Probably yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,84,46,72,93,6,22,6,6,6,34,34,37,30,37,31,53,34,36,16,89,89,24,90,89,54,64,79,14,76,85,84,74,80,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,White,Not Hispanic,Female,Left,614e149fccc6a53ae06dfcd2
100,405,anonymous,Accept consent,5f8486766d8e7b0f17df0206,Definitely not,Definitely not,Definitely not,Probably yes,Probably not,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Unsure,Definitely not,Unsure,Definitely not,Definitely yes,Definitely yes,Definitely yes,Probably yes,Probably not,Unsure,Probably yes,Probably not,Definitely not,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably not,Definitely yes,Definitely not,Definitely not,Definitely yes,Definitely not,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,28,1,14,7,1,8,1,4,10,39,50,65,55,30,16,18,3,11,12,31,10,20,19,62,7,1,2,12,4,18,11,38,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,White,Not Hispanic,Male,Right,5f8486766d8e7b0f17df0206
100,292,anonymous,Accept consent,657c66463782ed30c51cc914,Unsure,Unsure,Unsure,Unsure,Unsure,Definitely not,Unsure,Definitely not,Probably yes,Probably not,Definitely not,Definitely not,Unsure,Unsure,Probably yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Unsure,Probably not,Probably yes,Probably yes,Unsure,Definitely yes,Definitely yes,Unsure,Unsure,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,50,50,100,50,0,0,50,50,100,100,100,100,100,100,50,51,100,100,50,100,100,0,50,100,15,80,100,91,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Black/African-American,Not Hispanic,Female,Right,657c66463782ed30c51cc914
100,579,anonymous,Accept consent,5c5c5313a3e64300012b5042,Probably yes,Probably not,Definitely yes,Probably yes,Definitely yes,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Definitely yes,Probably not,Probably yes,Definitely not,Unsure,Probably not,Definitely yes,Definitely yes,Probably yes,Definitely not,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably not,Definitely not,Definitely yes,Definitely yes,Probably not,Definitely yes,Definitely not,Definitely not,Definitely yes,Probably not,Definitely yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,8,0,30,6,13,0,0,13,0,0,0,0,21,65,72,21,72,7,54,74,82,61,71,0,0,0,0,39,66,0,20,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,White,Not Hispanic,Male,Right,5c5c5313a3e64300012b5042
100,374,anonymous,Accept consent,644af3263650e8dd9d942487,Definitely not,Probably not,Definitely not,Definitely yes,Unsure,Definitely not,Probably yes,Definitely not,Probably yes,Probably not,Probably yes,Unsure,Unsure,Probably not,Probably yes,Definitely yes,Definitely yes,Definitely yes,Probably not,Probably not,Probably yes,Definitely yes,Unsure,Definitely yes,Unsure,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely not,Definitely not,Definitely yes,Definitely yes,Definitely not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,30,100,45,24,69,58,74,67,97,95,91,98,62,45,53,20,10,5,53,57,1,80,87,69,0,10,100,33,60,91,78,50,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,White,Not Hispanic,Male,Right,644af3263650e8dd9d942487
100,380,anonymous,Accept consent,61027870320137c39b85df8c,Probably not,Definitely yes,Probably not,Definitely not,Probably yes,Probably yes,Definitely not,Definitely not,Definitely not,Probably not,Probably not,Definitely not,Definitely not,Probably not,Probably not,Probably not,Probably yes,Definitely not,Definitely yes,Definitely not,Definitely yes,Definitely yes,Definitely not,Unsure,Probably yes,Definitely not,Probably yes,Definitely not,Probably yes,Definitely yes,Definitely not,Definitely not,Unsure,Probably yes,Definitely yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,14,87,91,89,83,40,100,100,77,92,92,13,0,88,20,0,0,0,0,0,0,0,0,0,66,100,81,89,45,23,18,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,"Black/African-American,White",Not Hispanic,Male,Right,61027870320137c39b85df8c
100,545,anonymous,Accept consent,63eba5467742a331ea0cf4db,Probably not,Unsure,Definitely not,Unsure,Definitely not,Definitely not,Probably yes,Definitely not,Probably yes,Probably yes,Probably yes,Probably not,Definitely yes,Unsure,Definitely yes,Definitely not,Definitely yes,Definitely not,Unsure,Unsure,Probably yes,Definitely not,Unsure,Probably not,Unsure,Definitely not,Definitely yes,Definitely yes,Definitely not,Definitely not,Probably yes,Definitely not,Definitely yes,Probably yes,Definitely yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,21,0,25,24,0,10,0,18,14,10,22,5,0,0,26,74,11,81,1,72,64,66,68,65,33,0,0,0,27,14,15,6,59,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,"Asian/Asian-American,White",Not Hispanic,Male,Right,63eba5467742a331ea0cf4db
100,340,anonymous,Accept consent,6409c99005586d3591dffca9,Definitely not,Definitely not,Definitely not,Definitely yes,Definitely yes,Definitely not,Definitely not,Definitely not,Definitely yes,Probably not,Probably yes,Probably yes,Definitely yes,Unsure,Definitely yes,Definitely not,Definitely yes,Definitely not,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely not,Definitely yes,Definitely not,Definitely yes,Definitely yes,Definitely yes,Definitely not,Definitely yes,Definitely not,Definitely yes,Definitely yes,Definitely yes,Definitely not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,66,38,66,30,28,40,29,70,70,19,74,73,11,19,18,65,63,34,1,8,60,8,59,8,80,18,80,19,81,37,75,30,59,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,White,Not Hispanic,Male,Right,6409c99005586d3591dffca9
100,239,anonymous,Accept consent,633ec4ab1ea0f8f0e863ae3e,Probably not,Probably not,Probably yes,Unsure,Definitely yes,Definitely not,Probably not,Probably yes,Probably yes,Probably yes,Unsure,Unsure,Probably not,Probably not,Probably yes,Probably yes,Probably yes,Definitely not,Probably yes,Definitely yes,Unsure,Definitely not,Unsure,Probably not,Probably not,Definitely not,Definitely yes,Definitely yes,Probably not,Definitely not,Definitely yes,Definitely not,Definitely yes,Definitely yes,Probably yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,21,0,66,12,25,30,15,15,12,33,7,21,8,76,87,76,64,38,76,25,90,40,60,9,0,0,0,16,26,12,29,85,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Black/African-American,Not Hispanic,Male,Right,633ec4ab1ea0f8f0e863ae3e
100,270,anonymous,Accept consent,61085f9c790cf4a931f70ede,Probably not,Unsure,Probably not,Probably yes,Definitely yes,Definitely not,Unsure,Definitely not,Definitely not,Probably not,Probably yes,Definitely not,Probably yes,Definitely not,Probably yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Definitely yes,Definitely yes,Definitely yes,Unsure,Definitely yes,Definitely yes,Definitely not,Definitely yes,Probably yes,Definitely not,Definitely yes,Definitely not,Definitely not,Definitely yes,Definitely yes,Probably not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,21,80,76,80,0,20,0,0,0,87,90,87,78,80,47,75,42,55,81,86,80,72,80,57,5,82,82,85,70,73,89,71,86,33,30,White,Not Hispanic,Female,Left,61085f9c790cf4a931f70ede
100,464,anonymous,Accept consent,655f93b2b4482d62ae2483c9,Definitely not,Probably not,Probably yes,Probably yes,Definitely yes,Unsure,Probably yes,Probably yes,Unsure,Definitely yes,Probably yes,Probably not,Unsure,Unsure,Unsure,Probably yes,Definitely yes,Probably yes,Probably yes,Definitely yes,Probably yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Probably yes,Unsure,Definitely yes,Probably yes,Definitely yes,Unsure,Unsure,Definitely yes,Probably yes,Probably yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,70,60,65,86,20,50,30,40,50,70,61,61,45,50,75,90,30,70,71,60,80,30,75,80,70,51,70,60,73,56,30,79,74,68,21,Black/African-American,Not Hispanic,Female,Right,655f93b2b4482d62ae2483c9
100,339,anonymous,Accept consent,6108628954605b64be3e7776,Definitely not,Definitely not,Definitely yes,Probably yes,Definitely yes,Definitely not,Probably yes,Definitely not,Probably yes,Probably yes,Probably not,Probably not,Probably not,Probably not,Probably not,Definitely yes,Probably yes,Definitely yes,Probably not,Definitely yes,Definitely yes,Definitely yes,Probably not,Definitely yes,Probably yes,Probably not,Definitely yes,Definitely yes,Probably yes,Definitely yes,Definitely not,Definitely not,Definitely yes,Definitely yes,Definitely yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,90,100,90,100,70,85,100,90,85,80,70,60,10,95,20,0,0,0,10,0,0,0,0,5,30,89,90,42,52,33,40,40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,White,Not Hispanic,Female,Right,6108628954605b64be3e7776
100,260,anonymous,Accept consent,6290d46c21b280fe8d88155f,Unsure,Unsure,Probably yes,Unsure,Definitely yes,Definitely not,Probably not,Definitely not,Probably not,Definitely not,Probably not,Probably not,Unsure,Unsure,Probably yes,Probably not,Probably yes,Definitely not,Probably not,Probably yes,Definitely yes,Definitely yes,Probably not,Definitely yes,Definitely yes,Definitely not,Definitely yes,Definitely yes,Probably not,Definitely yes,Definitely not,Definitely yes,Probably yes,Definitely not,Definitely not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,62,50,72,37,45,50,50,41,50,50,59,37,59,61,58,57,42,62,73,65,49,71,60,50,71,71,40,58,43,43,59,52,50,32,Asian/Asian-American,Not Hispanic,Male,Right,6290d46c21b280fe8d88155f
